,movie,count_surprise,count_happy,count_angry,count_fear,count_sad,avg_conf_surprise,avg_conf_happy,avg_conf_angry,avg_conf_fear,avg_conf_sad,avg_rel_face_area_surprise,avg_rel_face_area_happy,avg_rel_face_area_angry,avg_rel_face_area_fear,avg_rel_face_area_sad,total_faces,angry_pct,fear_pct,happy_pct,sad_pct,surprise_pct,max_pct,dominant_emotion
0,dark_knight_rises,17,450,155,62,394,0.7666095723124111,0.8305268594291475,0.7674302195349048,0.692501742512949,0.8123007803247665,0.0951264070442992,0.08196719821673536,0.0958247958980486,0.11319176871764239,0.08546990544901929,1078,14.37847866419295,5.75139146567718,41.74397031539889,36.54916512059369,1.5769944341372915,41.74397031539889,happy
1,hp4_goblet_of_fire,41,233,100,129,439,0.8291825063344909,0.8270326570124074,0.7379649394750595,0.783462538968685,0.8506779978242713,0.11029283348389038,0.10194927939384302,0.09827094907407403,0.11401082041343671,0.0978214903399984,942,10.615711252653929,13.694267515923567,24.734607218683653,46.602972399150744,4.35244161358811,46.602972399150744,sad
2,lotr_2,31,262,106,165,677,0.7483267909096133,0.8345902523466648,0.7702269902769124,0.7700177120439934,0.8639613982053416,0.20214549731182802,0.17043387316228434,0.14015521270090844,0.1616860620089786,0.1558823692830571,1241,8.54149879129734,13.295729250604351,21.112006446414185,54.55278001611603,2.49798549556809,54.55278001611603,sad
3,lotr_1,19,377,194,140,546,0.6801954633311221,0.8529931287076176,0.766628785385299,0.7768459511654717,0.8425149945439873,0.15052722953216371,0.13414740980204343,0.18917657025582282,0.19711175181878315,0.15773836551180304,1276,15.203761755485893,10.9717868338558,29.545454545454547,42.78996865203762,1.489028213166144,42.78996865203762,sad
4,frankenweenie,49,48,133,36,104,0.7498338928028029,0.7635309044271708,0.7398069021397067,0.7106230424510108,0.7795628581482631,0.08961027808023432,0.10382418120927876,0.1054091150667899,0.13076273321746854,0.09956434544968394,370,35.945945945945944,9.72972972972973,12.972972972972974,28.10810810810811,13.243243243243244,35.945945945945944,angry
5,9,5,85,100,22,49,0.70531245470047,0.7890391220064724,0.828418557047844,0.6913851336999373,0.7611252428317556,0.06820232371794872,0.08030284926470592,0.15799502203525637,0.17222480969551285,0.125063274708922,261,38.31417624521073,8.42911877394636,32.56704980842912,18.773946360153257,1.9157088122605364,38.31417624521073,angry
6,black_mass,24,219,234,98,386,0.6993871579567591,0.8551858384587449,0.7722697354789473,0.7345036684858556,0.8250792782386968,0.10978539737654323,0.1056720538079936,0.12126864711934152,0.13875251952632905,0.11124245386362192,961,24.349635796045785,10.197710718002082,22.788761706555672,40.16649323621228,2.497398543184183,40.16649323621228,sad
7,gaffigan_kingbaby,10,141,235,52,248,0.7003319591283799,0.7696533634307536,0.8138431459031207,0.7440751974399273,0.8105534943601778,0.03546541318477251,0.043682111295495145,0.04098169659613983,0.040829059085065365,0.03724524609129308,686,34.25655976676385,7.580174927113703,20.55393586005831,36.15160349854227,1.4577259475218658,36.15160349854227,sad
8,lego_movie,3,137,90,30,35,0.6432566245396932,0.8447949422972045,0.8181191470887926,0.7909495145082474,0.7128828849111285,0.06624099794238683,0.08795544403892938,0.09611351165980794,0.11996013374485595,0.07216413139329805,295,30.508474576271187,10.16949152542373,46.440677966101696,11.864406779661017,1.0169491525423728,46.440677966101696,happy
9,hp6_half_blood_prince,21,115,171,65,320,0.7502947165852502,0.7862925436185754,0.7577352907225402,0.7687135577201843,0.8112376025877893,0.07853468547912994,0.08181823671497586,0.09603248411667033,0.14382543922127256,0.0783928433641975,692,24.710982658959537,9.393063583815028,16.61849710982659,46.24277456647399,3.0346820809248554,46.24277456647399,sad
